scope_percent,cluster_inside_accuracys,cluster_outside_accuracys,nn_ouside_accuracys,same_result_accuracys
66,0.94,0.78,0.84,0.9
67,0.9411764705882353,0.7708333333333334,0.8333333333333334,0.8958333333333334
68,0.9320388349514563,0.7872340425531915,0.9148936170212766,0.8723404255319149
69,0.9238095238095239,0.8,0.8888888888888888,0.8666666666666667
70,0.9150943396226415,0.8181818181818182,0.8863636363636364,0.9318181818181818
71,0.9166666666666666,0.8095238095238095,0.9285714285714286,0.7857142857142857
72,0.9174311926605505,0.8048780487804879,0.8780487804878049,0.8780487804878049
73,0.918918918918919,0.7948717948717948,0.8717948717948718,0.8717948717948718
74,0.9107142857142857,0.8157894736842105,0.8947368421052632,0.868421052631579
75,0.9122807017543859,0.8055555555555556,0.8333333333333334,0.9166666666666666
76,0.9043478260869565,0.8285714285714286,0.8571428571428571,0.9142857142857143
77,0.905982905982906,0.8181818181818182,0.8484848484848485,0.9090909090909091
78,0.9067796610169492,0.8125,0.84375,0.90625
79,0.9,0.8333333333333334,0.8666666666666667,0.9
80,0.8925619834710744,0.8620689655172413,0.8620689655172413,0.9310344827586207
81,0.8943089430894309,0.8518518518518519,0.8518518518518519,0.9259259259259259
82,0.8870967741935484,0.8846153846153846,0.8461538461538461,0.9615384615384616
83,0.8888888888888888,0.875,0.875,1.0
84,0.889763779527559,0.8695652173913043,0.9130434782608695,0.9565217391304348
85,0.8914728682170543,0.8571428571428571,0.8571428571428571,1.0
86,0.8923076923076924,0.85,0.9,0.95
87,0.8939393939393939,0.8333333333333334,0.8888888888888888,0.9444444444444444
88,0.8872180451127819,0.8823529411764706,0.8823529411764706,1.0
89,0.8888888888888888,0.8666666666666667,0.8666666666666667,1.0
90,0.8897058823529411,0.8571428571428571,0.8571428571428571,1.0
91,0.8840579710144928,0.9166666666666666,0.9166666666666666,1.0
92,0.8776978417266187,1.0,1.0,1.0
93,0.8794326241134752,1.0,1.0,1.0
94,0.8802816901408451,1.0,1.0,1.0
95,0.8819444444444444,1.0,1.0,1.0
96,0.8827586206896552,1.0,1.0,1.0
97,0.8843537414965986,1.0,1.0,1.0
98,0.8851351351351351,1.0,1.0,1.0
99,0.8866666666666667,,,
100,0.8866666666666667,,,
